,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,absences,alcohol,grade
673,F,18,U,GT3,T,4,3,home,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,1,2,2,4,45
674,M,18,U,GT3,T,4,3,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,2,2,31
675,M,18,R,GT3,T,3,2,course,mother,1,3,0,no,no,no,yes,no,yes,no,no,5,3,2,2,2,33
676,F,17,U,GT3,T,3,3,home,mother,1,3,0,no,no,no,yes,no,yes,no,no,3,2,3,2,2,40
677,F,18,U,GT3,T,2,2,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,0,2,36
678,M,17,U,GT3,T,2,2,home,father,2,1,0,no,no,no,no,yes,no,yes,no,4,4,4,8,5,25
679,M,18,R,LE3,A,3,4,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,6,7,47
680,M,17,U,GT3,T,3,1,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,4,0,7,36
681,F,18,R,GT3,T,4,4,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,3,4,8,4,33
682,M,18,U,GT3,T,4,2,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,4,4,36
683,F,18,R,GT3,T,2,1,reputation,mother,2,2,0,no,yes,no,no,yes,no,yes,yes,4,3,5,12,3,27
684,F,19,U,GT3,T,3,3,home,other,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,16,6,35
685,F,18,U,GT3,T,2,3,reputation,father,1,4,0,no,yes,no,yes,yes,yes,yes,yes,4,5,5,10,4,48
686,F,18,U,LE3,T,1,1,home,mother,2,2,0,no,yes,no,no,no,yes,no,no,4,4,3,2,2,39
687,M,17,R,GT3,T,1,2,home,mother,1,2,0,no,yes,no,yes,no,yes,no,yes,3,5,2,2,4,51
688,F,18,U,GT3,T,2,1,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,2,5,8,3,43
689,F,17,U,GT3,T,2,4,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,6,2,47
690,F,17,U,LE3,T,2,2,course,mother,2,2,0,yes,yes,no,no,yes,yes,yes,yes,4,4,4,6,5,36
691,F,18,R,GT3,A,3,2,home,mother,2,2,0,no,no,no,no,no,no,yes,yes,4,1,1,15,2,31
692,M,18,U,GT3,T,4,4,home,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,3,2,4,6,5,35
693,F,18,U,GT3,T,4,4,reputation,father,1,2,1,yes,yes,no,yes,yes,yes,yes,yes,2,4,4,2,2,39
694,F,17,U,GT3,T,2,2,reputation,father,3,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,8,2,43
695,F,19,R,GT3,T,3,2,reputation,father,1,2,1,yes,yes,no,no,yes,no,yes,no,3,3,3,0,7,27
696,M,18,U,LE3,T,4,3,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,2,3,0,3,30
697,M,18,U,GT3,T,1,2,home,other,2,1,0,no,no,no,no,no,no,yes,no,3,4,4,10,6,31
698,M,17,U,LE3,A,4,1,home,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,4,5,4,22,6,32
699,M,17,U,LE3,A,3,2,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,4,4,4,18,7,39
700,F,18,R,LE3,T,1,1,reputation,mother,2,4,0,no,yes,no,yes,yes,yes,no,no,5,2,2,2,2,52
701,F,18,U,GT3,T,1,1,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,4,4,0,2,38
702,F,17,U,GT3,T,2,2,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,4,5,12,3,38
703,F,18,U,GT3,T,2,1,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,1,10,2,39
704,M,17,U,GT3,T,1,1,reputation,father,1,2,0,no,no,no,no,no,yes,yes,no,4,3,3,0,3,36
705,F,18,U,GT3,T,2,2,other,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,3,54
706,F,17,U,GT3,T,1,1,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,2,40
707,M,18,U,GT3,T,2,1,reputation,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,2,4,0,4,44
708,M,18,U,LE3,A,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,0,2,51
709,M,18,U,GT3,T,4,2,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,2,5,47
710,F,17,U,GT3,T,4,3,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,2,2,0,3,53
711,F,17,R,LE3,T,3,1,reputation,mother,2,4,0,no,yes,no,no,yes,yes,no,no,3,1,2,0,2,56
712,M,18,R,LE3,T,3,2,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,0,2,44
713,M,17,U,GT3,T,3,3,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,3,0,4,44
714,F,19,U,GT3,T,4,4,reputation,other,2,2,0,no,yes,no,yes,yes,yes,yes,no,2,3,4,2,5,40
715,F,18,U,LE3,T,4,3,home,other,2,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,5,0,3,41
716,F,18,U,GT3,T,4,3,reputation,father,1,4,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,2,50
717,M,18,U,LE3,T,4,4,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,1,4,2,0,4,53
718,F,18,U,LE3,A,4,4,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,2,4,0,2,44
719,M,17,U,LE3,T,4,4,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,4,1,1,0,4,38
720,F,17,R,GT3,T,4,4,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,0,2,22
721,F,17,U,GT3,T,4,2,reputation,mother,2,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,2,48
722,F,17,U,GT3,T,3,2,reputation,father,1,4,0,no,yes,no,yes,no,yes,yes,no,5,2,2,0,3,54
723,M,19,R,LE3,T,2,1,course,mother,2,3,1,no,no,no,yes,yes,yes,yes,yes,4,3,1,0,2,30
724,M,19,R,GT3,T,3,3,reputation,father,1,2,0,no,no,no,yes,yes,yes,no,yes,4,5,3,0,3,31
725,F,18,U,GT3,T,1,4,home,mother,1,2,0,yes,yes,no,no,no,yes,no,yes,3,4,4,2,3,31
726,F,18,U,GT3,T,2,1,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,3,39
727,F,17,U,GT3,T,2,3,course,father,2,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,1,2,2,37
728,F,17,R,GT3,T,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,4,4,2,2,48
729,F,18,U,GT3,T,4,3,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,2,2,46
730,F,18,U,LE3,T,4,3,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,3,2,4,8,5,39
731,F,17,R,GT3,T,3,4,course,father,1,3,0,no,yes,no,yes,no,yes,yes,no,4,3,4,2,7,47
732,F,18,U,GT3,T,3,3,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,1,4,8,2,37
733,M,19,U,GT3,T,4,2,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,9,2,31
734,F,18,U,GT3,T,4,4,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,0,6,36
735,F,18,U,GT3,T,3,4,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,5,4,4,4,2,37
736,F,17,U,GT3,T,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,3,4,2,3,46
737,F,17,U,GT3,A,4,3,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,2,2,14,3,46
738,F,17,U,LE3,A,3,3,home,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,5,3,3,0,2,37
739,F,17,U,LE3,T,2,1,home,father,1,2,0,no,no,no,yes,yes,yes,yes,no,4,2,3,2,4,37
740,M,18,U,LE3,T,4,4,reputation,father,1,1,0,no,yes,no,no,yes,yes,yes,no,4,2,5,2,7,28
741,F,19,U,GT3,T,1,1,course,other,3,3,0,no,no,no,yes,yes,no,no,yes,1,5,5,12,7,31
742,F,19,U,LE3,A,1,1,course,other,3,2,2,no,yes,no,no,no,yes,yes,yes,5,3,4,2,2,25
743,F,18,U,GT3,T,2,2,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,5,2,6,30
744,F,17,U,GT3,T,2,2,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,2,2,4,2,40
745,F,17,R,LE3,T,2,2,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,0,4,32
746,F,17,U,GT3,T,3,1,course,father,1,3,0,no,yes,no,no,no,yes,yes,no,3,4,3,0,5,52
747,F,17,U,LE3,T,0,2,home,father,2,3,0,no,no,no,no,yes,yes,yes,no,3,3,3,0,5,43
748,F,18,U,GT3,T,1,1,home,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,5,5,0,3,42
749,M,18,U,GT3,T,4,4,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,0,4,40
750,M,17,U,GT3,T,3,3,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,4,3,5,0,8,52
751,M,17,R,GT3,T,2,2,course,mother,4,1,0,no,yes,no,no,yes,yes,yes,no,4,4,5,2,10,31
752,F,17,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,0,4,38
753,F,17,U,GT3,T,4,4,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,4,3,3,4,3,44
754,F,17,U,GT3,T,3,3,course,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,no,4,2,5,2,7,34
755,M,18,U,LE3,T,2,2,course,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,5,5,0,6,34
756,M,19,R,GT3,T,3,2,home,other,1,1,0,no,yes,no,no,no,yes,no,yes,5,3,4,0,4,31
757,F,18,U,GT3,T,2,2,course,mother,4,2,0,no,no,no,yes,yes,yes,no,yes,4,2,5,2,2,29
758,F,17,R,GT3,T,2,4,course,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,0,2,45
759,M,18,U,GT3,T,2,2,reputation,mother,1,1,0,no,no,no,no,no,yes,yes,no,5,4,2,6,3,44
760,F,18,U,GT3,T,3,3,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,4,8,2,33
761,F,18,U,LE3,T,2,2,home,other,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,0,2,31
762,F,18,R,GT3,T,2,2,course,mother,2,4,0,no,no,no,yes,yes,yes,no,no,4,4,4,6,2,41
763,F,17,U,GT3,T,3,4,course,mother,1,3,0,no,no,no,no,yes,yes,yes,no,4,4,5,8,4,38
764,F,17,U,GT3,T,3,2,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,2,0,5,40
765,F,18,U,LE3,T,3,3,home,mother,1,4,0,no,yes,no,no,yes,yes,yes,no,5,3,3,4,2,43
766,F,17,R,GT3,A,3,2,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,5,44
767,M,18,U,GT3,T,4,4,home,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,0,4,37
768,M,18,U,LE3,T,3,4,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,3,6,4,49
769,F,17,U,GT3,A,2,2,home,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,3,3,1,18,3,36
770,F,18,U,GT3,T,2,3,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,3,37
771,F,18,U,GT3,T,3,2,other,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,3,4,5,47
772,M,18,R,GT3,T,4,3,course,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,3,2,4,3,46
773,M,18,U,GT3,T,4,3,course,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,5,4,5,0,5,41
774,F,17,U,GT3,T,4,3,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,0,4,36
775,F,17,U,GT3,T,2,1,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,10,4,42
776,F,17,U,GT3,T,2,1,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,4,6,44
777,F,19,U,LE3,A,2,3,home,other,2,1,1,no,no,no,no,yes,no,yes,no,2,2,3,16,7,32
778,F,17,U,GT3,T,3,1,home,mother,1,1,1,no,yes,yes,no,yes,yes,yes,yes,4,1,2,6,2,36
779,M,18,U,LE3,T,2,2,reputation,mother,1,2,0,no,yes,no,yes,no,no,yes,no,4,4,4,11,4,32
780,M,18,U,LE3,A,3,4,reputation,other,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,5,9,5,42
781,F,17,U,GT3,T,2,2,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,0,4,47
782,M,17,U,LE3,A,4,4,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,4,2,2,3,42
783,F,18,U,LE3,T,4,2,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,0,2,48
784,F,19,U,GT3,T,4,4,home,other,1,1,1,no,yes,no,no,yes,yes,yes,yes,3,2,5,5,8,30
785,M,17,U,LE3,A,3,2,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,10,3,52
786,F,18,U,GT3,T,3,2,reputation,father,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,5,3,48
787,M,18,R,GT3,T,2,3,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,1,3,13,9,41
788,M,19,U,GT3,T,2,1,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,3,4,10,5,29
789,F,18,U,LE3,A,2,2,reputation,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,1,4,10,4,48
790,F,18,U,GT3,T,3,2,home,mother,1,2,0,no,yes,no,yes,no,yes,yes,yes,3,1,2,4,3,36
791,F,16,U,GT3,T,1,3,other,father,2,1,0,no,yes,no,no,yes,no,yes,yes,4,3,3,11,4,32
792,F,16,R,GT3,T,2,2,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,0,2,36
793,F,15,R,GT3,T,1,1,other,mother,1,1,1,no,yes,no,no,yes,yes,no,yes,4,1,3,6,2,30
794,F,15,R,GT3,T,3,3,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,4,4,4,5,31
795,F,16,R,GT3,T,2,3,course,mother,2,2,0,no,no,no,no,yes,yes,no,no,4,5,2,0,3,50
796,F,15,R,LE3,T,2,1,home,mother,2,1,0,no,no,no,no,yes,no,no,no,1,3,4,0,2,23
797,M,16,R,LE3,A,4,4,home,mother,1,2,0,no,yes,no,no,yes,yes,no,no,5,3,2,5,4,32
798,M,16,U,GT3,A,1,2,other,mother,1,3,0,yes,no,no,no,yes,yes,yes,no,4,4,3,0,2,32
799,F,17,R,GT3,T,3,2,course,father,1,2,1,no,no,no,no,yes,yes,no,yes,4,5,4,0,3,30
800,F,17,R,GT3,T,1,1,other,father,1,1,1,no,yes,no,no,no,no,yes,no,5,4,4,0,4,19
801,F,15,R,GT3,T,4,4,course,mother,2,1,0,no,no,no,no,yes,yes,yes,yes,1,5,1,0,8,41
802,F,16,U,LE3,A,2,2,reputation,mother,2,4,0,no,no,no,yes,no,no,no,yes,1,2,1,4,2,30
803,F,15,R,LE3,T,1,1,reputation,father,2,2,0,no,yes,no,no,yes,yes,yes,no,5,4,3,0,3,30
804,F,15,R,LE3,T,1,1,course,mother,2,1,1,no,yes,no,no,yes,yes,yes,yes,4,4,3,4,3,21
805,F,16,R,GT3,T,0,2,other,mother,2,1,0,no,yes,no,yes,yes,yes,no,no,3,2,3,0,3,35
806,F,17,R,GT3,T,2,3,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,5,5,2,4,33
807,F,15,R,GT3,T,3,3,course,father,2,1,0,no,no,no,no,no,yes,yes,no,4,1,3,0,2,46
808,M,16,U,GT3,T,1,1,home,mother,2,2,0,no,yes,no,yes,yes,yes,no,yes,5,4,5,0,9,7
809,M,17,U,GT3,T,1,1,home,mother,1,2,0,no,no,yes,no,no,yes,yes,no,4,4,3,4,6,26
810,M,15,R,LE3,T,4,1,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,0,3,39
811,M,15,R,LE3,T,4,1,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,7,3,24
812,M,16,R,GT3,T,3,4,other,mother,3,2,0,no,no,no,no,no,yes,no,no,3,4,5,4,3,30
813,M,15,R,GT3,T,1,1,course,mother,4,2,0,no,yes,no,yes,yes,yes,no,yes,5,4,5,8,6,25
814,M,15,U,LE3,T,3,3,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,0,2,33
815,M,17,R,GT3,T,2,1,other,mother,3,1,0,no,no,no,yes,yes,no,no,yes,5,5,5,8,10,27
816,F,16,R,GT3,T,4,4,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,4,2,2,6,2,49
817,F,15,R,GT3,T,1,2,course,mother,2,1,0,no,no,no,no,yes,yes,no,no,5,1,2,3,2,37
818,F,16,R,GT3,T,2,3,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,5,4,2,3,45
819,M,16,R,GT3,T,1,2,course,father,2,2,0,no,no,no,no,yes,yes,no,no,4,3,3,0,2,32
820,F,16,R,GT3,T,2,2,course,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,4,5,4,2,30
821,F,16,U,GT3,T,1,2,course,mother,1,3,1,no,yes,no,no,yes,yes,no,no,1,3,2,0,3,26
822,F,16,U,GT3,T,1,2,course,mother,1,3,1,no,yes,no,no,yes,yes,no,no,1,3,2,3,3,25
823,F,15,U,GT3,T,2,1,home,mother,1,2,0,yes,yes,no,no,no,yes,yes,no,4,4,2,0,6,28
824,F,16,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,no,yes,no,yes,5,4,3,0,3,42
825,M,17,R,LE3,T,1,2,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,5,5,4,10,32
826,F,16,R,GT3,T,1,1,home,father,4,4,0,no,yes,no,no,no,yes,yes,no,4,3,2,0,2,36
827,F,16,R,GT3,T,1,1,other,father,4,3,0,yes,yes,no,no,yes,yes,no,no,4,4,3,2,2,29
828,F,15,R,GT3,T,1,1,home,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,2,32
829,F,16,R,GT3,T,1,1,other,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,4,2,2,0,7,39
830,F,15,R,GT3,T,1,1,course,father,3,2,0,no,yes,no,no,yes,yes,no,no,4,2,1,0,3,41
831,F,15,R,LE3,T,2,2,other,father,1,3,0,yes,yes,no,no,yes,yes,no,no,4,4,3,2,4,37
832,M,16,R,GT3,T,1,1,other,father,2,1,0,no,no,no,yes,yes,yes,no,no,3,4,4,6,7,33
833,F,18,U,GT3,T,1,2,course,father,1,2,1,no,yes,no,yes,yes,yes,yes,yes,3,4,4,9,5,25
834,M,15,U,GT3,T,3,1,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,3,2,3,0,4,30
835,F,16,R,GT3,T,2,2,course,father,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,4,1,2,41
836,M,15,U,GT3,T,2,2,reputation,mother,3,1,0,no,no,no,no,yes,yes,no,no,4,3,3,1,3,38
837,M,16,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,no,yes,4,3,1,0,2,38
838,F,15,R,GT3,T,3,3,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,5,4,4,2,37
839,F,16,R,GT3,T,2,2,course,mother,2,2,1,no,yes,no,yes,no,yes,no,no,4,4,4,2,5,35
840,F,16,R,LE3,T,2,2,home,father,3,1,0,no,yes,no,yes,yes,yes,no,yes,4,3,2,0,2,44
841,M,16,U,LE3,T,2,1,course,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,4,3,4,5,28
842,M,15,R,LE3,T,1,3,reputation,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,2,8,32
843,F,15,U,GT3,T,2,2,course,mother,2,3,0,no,yes,no,yes,yes,yes,no,no,5,3,2,0,2,39
844,F,16,R,LE3,T,2,1,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,5,4,3,2,2,26
845,M,15,U,GT3,T,3,3,course,father,2,1,0,no,yes,no,yes,no,yes,yes,no,4,3,3,11,6,33
846,F,16,R,GT3,T,1,1,course,father,2,2,3,yes,yes,no,no,yes,yes,no,no,3,4,3,0,2,22
847,F,17,U,GT3,T,2,2,course,mother,1,1,0,no,yes,no,yes,yes,no,no,no,4,5,3,4,2,28
848,F,19,U,GT3,T,2,3,course,other,1,1,1,no,no,no,no,yes,no,yes,yes,4,4,4,0,2,28
849,F,17,R,GT3,T,2,1,course,mother,3,1,0,no,yes,no,yes,yes,no,no,yes,5,5,3,2,2,30
850,F,15,R,LE3,T,1,1,course,mother,2,1,0,no,yes,no,no,yes,no,no,yes,5,2,1,0,4,28
851,F,16,R,GT3,T,2,2,course,father,3,2,0,no,yes,no,no,yes,no,yes,no,3,4,5,1,3,30
852,F,16,U,LE3,A,2,2,home,mother,1,1,0,no,yes,no,no,yes,no,no,no,4,3,4,6,3,22
853,F,17,R,GT3,T,2,2,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,4,3,5,0,3,32
854,F,16,U,GT3,T,2,2,course,father,1,1,1,no,yes,yes,yes,no,yes,yes,no,4,4,3,1,5,29
855,F,18,R,LE3,A,3,2,course,other,2,3,2,no,yes,no,no,no,no,no,yes,3,3,2,6,2,26
856,F,19,U,GT3,T,1,1,course,mother,1,3,1,no,no,no,yes,yes,no,no,yes,5,3,1,6,2,25
857,M,18,R,GT3,T,1,1,home,mother,2,1,1,no,no,no,yes,yes,no,yes,no,4,4,3,0,7,27
858,F,18,R,GT3,T,1,1,course,mother,2,1,1,no,no,no,no,no,no,yes,yes,3,2,3,4,2,30
859,F,19,U,GT3,T,1,1,course,other,2,2,1,no,yes,no,no,yes,yes,yes,yes,1,1,4,12,5,24
860,F,16,R,GT3,A,2,2,course,mother,1,2,0,no,no,no,no,no,yes,no,yes,3,3,2,2,2,28
861,F,17,U,GT3,T,0,1,course,father,2,1,0,no,no,no,yes,no,yes,no,no,2,4,4,5,8,28
862,F,16,R,LE3,T,1,2,course,mother,1,2,0,no,no,no,yes,yes,no,yes,no,4,4,5,0,4,26
863,F,16,U,GT3,T,3,3,reputation,mother,1,1,0,no,no,no,yes,yes,no,yes,yes,4,5,4,0,2,40
864,F,16,R,LE3,T,1,1,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,4,4,2,4,42
865,M,17,U,GT3,T,3,3,course,mother,2,4,1,no,yes,yes,yes,yes,yes,no,no,5,4,5,0,7,31
866,F,16,U,GT3,T,2,1,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,0,2,41
867,F,16,U,GT3,T,2,2,course,mother,1,1,0,no,yes,yes,yes,yes,yes,no,yes,4,2,5,0,3,49
868,M,17,U,GT3,T,1,2,course,father,1,1,1,no,yes,no,yes,yes,no,yes,yes,5,3,5,12,10,20
869,M,16,U,LE3,T,4,3,course,father,1,1,0,no,no,no,yes,yes,yes,yes,no,4,2,5,8,6,39
870,M,17,R,LE3,T,2,2,other,mother,3,4,1,no,yes,no,no,yes,yes,no,no,1,3,5,2,8,27
871,F,16,U,GT3,T,1,1,course,other,1,4,0,yes,yes,no,yes,yes,yes,yes,no,2,2,1,0,2,42
872,F,19,U,LE3,T,2,2,home,mother,1,3,0,no,no,no,no,yes,yes,yes,yes,5,4,5,0,2,38
873,F,17,R,GT3,T,1,1,reputation,mother,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,4,5,0,3,33
874,F,17,U,LE3,T,1,1,course,father,1,3,0,no,yes,no,no,yes,yes,no,yes,4,3,3,0,2,32
875,M,17,R,GT3,T,2,2,course,mother,3,1,1,no,yes,no,no,no,yes,yes,no,4,4,5,0,3,28
876,F,16,R,LE3,T,1,1,course,father,3,2,0,no,yes,no,no,yes,yes,no,no,5,3,2,0,2,51
877,F,17,R,GT3,T,2,2,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,no,no,5,3,2,0,2,49
878,F,17,U,GT3,A,1,0,other,mother,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,5,1,2,30
879,F,18,R,GT3,T,1,1,other,mother,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,3,2,9,2,21
880,F,16,U,GT3,T,3,1,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,1,3,0,4,22
881,F,16,U,GT3,T,3,2,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,1,3,2,5,20
882,F,18,U,LE3,T,1,1,reputation,mother,2,2,0,yes,no,no,no,yes,yes,no,no,2,3,5,8,5,27
883,F,16,R,GT3,T,4,4,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,3,0,5,46
884,F,16,R,LE3,T,1,2,reputation,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,5,0,5,43
885,F,18,U,GT3,A,2,4,reputation,father,1,2,1,no,yes,no,no,yes,yes,yes,no,2,3,2,8,4,21
886,M,16,R,GT3,T,2,1,reputation,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,5,2,1,0,2,15
887,F,16,U,LE3,T,1,1,other,mother,3,2,0,no,yes,no,no,yes,yes,yes,no,4,3,2,6,4,22
888,F,16,R,GT3,T,2,3,other,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,3,3,3,0,2,28
889,F,16,U,GT3,T,4,4,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,4,3,24
890,M,18,U,LE3,T,4,4,home,mother,1,4,0,no,yes,no,yes,yes,no,yes,yes,5,5,5,2,10,17
891,F,16,R,LE3,T,3,4,other,mother,3,2,0,no,yes,no,no,no,yes,no,no,4,2,1,2,2,24
892,M,17,U,LE3,T,4,4,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,4,4,3,0,3,45
893,F,17,R,GT3,T,4,1,other,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,2,3,1,3,41
894,M,16,U,LE3,T,2,2,other,mother,4,3,0,no,no,no,no,yes,yes,no,no,5,1,3,0,4,29
895,F,17,R,GT3,T,2,2,other,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,1,3,5,3,27
896,F,16,U,LE3,T,4,4,other,father,2,1,0,no,yes,no,no,yes,yes,no,no,5,1,3,1,3,33
897,M,17,U,GT3,T,3,3,home,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,1,4,8,10,26
898,M,17,U,GT3,T,1,1,other,mother,3,2,0,no,no,no,no,yes,yes,yes,yes,5,1,3,0,6,30
899,M,16,U,GT3,T,2,1,other,mother,2,2,0,no,no,no,no,no,yes,yes,yes,4,2,2,2,5,24
